ecosystem_type,natural,mod_deg,sev_deg,vsev_deg,Total_Area_under_mpa_km2,eco_extent_km2,percent_protected,natural_in_mpa,natural_wd,mod_deg_wd,sev_deg_wd,v_sev_deg_wd,total_perc,perc_pro_cnd,pro_lvl_2019_20,pro_lvl_2019_30,pro_lvl_2025_30,difference_2019_30_20,difference_2019_2025_30
Agulhas Basin Abyss,0.999943456,5.65E-05,0,0,4679.503966,56942.81086,8.217901251,8.217436576,0.999943456,2.83E-05,0,0,0.999971728,8.217668914,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Agulhas Basin Complex Abyss,0,0,0,0,0,3748.377243,0,0,0,0,0,0,0,0,Not Protected,Not Protected,Not Protected,same,same
Agulhas Blues,1,0,0,0,3.687438606,8379.645775,0.044004707,0.044004707,1,0,0,0,1,0.044004707,Not Protected,Not Protected,Not Protected,same,same
Agulhas Boulder Shore,0.426349497,0.258005489,0.104300091,0.210430009,0.971410618,1.630470623,59.57854158,25.40128122,0.426349497,0.129002745,0.031290027,0.021043001,0.60768527,36.20500212,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Agulhas Coarse Sediment Shelf Edge,0.561714588,0.438285412,0,0,66.39894216,3990.511229,1.663920695,0.934648527,0.561714588,0.219142706,0,0,0.780857294,1.299284611,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Agulhas Dissipative Intermediate Sandy Shore,0.809562156,0.078296482,0.060350183,0.051791179,39.12170962,116.4453479,33.59662735,27.19855808,0.809562156,0.039148241,0.018105055,0.005179118,0.87199457,29.29607662,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Agulhas Dissipative Sandy Shore,0.567793594,0.314768683,0.01752669,0.099911032,10.11403653,25.14982,40.21514481,22.83390162,0.567793594,0.157384342,0.005258007,0.009991103,0.740427046,29.77638089,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Agulhas Exposed Rocky Shore,0.403426791,0.432965166,0.049730954,0.113792127,31.69039023,89.48999989,35.41221396,14.28623585,0.403426791,0.216482583,0.014919286,0.011379213,0.646207873,22.88365146,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Agulhas Exposed Stromatolite Rocky Shore,0.562711864,0.425423729,0,0.011864407,0.525011908,8.295881496,6.32858495,3.561169836,0.562711864,0.212711864,0,0.001186441,0.776610169,4.914843431,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Agulhas Inner Shelf Mosaic,0.843523705,0.149502652,0.002338351,0.004635292,325.9596258,1853.572857,17.58547686,14.8337666,0.843523705,0.074751326,0.000701505,0.000463529,0.919440066,16.168792,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Agulhas Inner Shelf Reef,0.741891307,0.248306184,0.009802508,0,12.48230882,17.67602275,70.61718009,52.39027207,0.741891307,0.124153092,0.002940752,0,0.868985152,61.36528098,Well Protected,Well Protected,Well Protected,same,same
Agulhas Intermediate Sandy Shore,0.840308697,0.030276046,0.079252004,0.049866429,3.028535427,14.45176837,20.95615809,17.6096419,0.840308697,0.015138023,0.023775601,0.004986643,0.884208964,18.52962283,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Agulhas Island,0.5425231,0.00452574,0.023948708,0.429002451,4.772385997,6.446741988,74.0278734,40.16183137,0.5425231,0.00226287,0.007184612,0.042900245,0.594870828,44.03702233,Well Protected,Well Protected,Well Protected,same,same
Agulhas Kelp Forest,0.185195453,0.200166343,0.162739118,0.451067369,3.057813435,12.3040436,24.85210176,4.602496251,0.185195453,0.100083172,0.048821736,0.045106737,0.379207097,9.424093371,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Agulhas Lower Canyon,0.198853371,0.801146629,0,0,396.5294042,1152.523902,34.40530851,6.841611589,0.198853371,0.400573314,0,0,0.599426686,20.62346005,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Agulhas Mid Shelf Mosaic,0.710375266,0.249914309,0.022034055,0.01767637,806.1497116,3632.559989,22.19233031,15.76488254,0.710375266,0.124957154,0.006610217,0.001767637,0.843710274,18.72389708,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Agulhas Mid Shelf Reef,0.639197995,0.360802005,0,0,8.967517265,51.88759015,17.28258576,11.04699416,0.639197995,0.180401003,0,0,0.819598997,14.16478996,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Agulhas Mixed Shore,0.278857188,0.516303273,0.098591271,0.106208698,45.45851025,188.0840816,24.16924912,6.739768849,0.278857188,0.258151636,0.029577381,0.01062087,0.577207075,13.9506616,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Agulhas Muddy Mid Shelf,0.022330171,0.823590133,0.022762808,0.131316888,118.596334,1732.353973,6.845964272,0.152871551,0.022330171,0.411795066,0.006828843,0.013131689,0.454085769,3.108654947,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Agulhas Muddy Outer Shelf,0.217919938,0.405008759,0.21524687,0.161824434,69.3403627,1278.048767,5.425486449,1.182321669,0.217919938,0.202504379,0.064574061,0.016182443,0.501180821,2.719149755,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Agulhas Plateau,1,0,0,0,1175.486853,5469.130376,21.4931218,21.4931218,1,0,0,0,1,21.4931218,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Agulhas Reflective Sandy Shore,0.193548387,0.365591398,0,0.440860215,0.080931284,0.868005318,9.323823464,1.804610993,0.193548387,0.182795699,0,0.044086022,0.420430108,3.920016102,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Agulhas Rocky Outer Shelf,0.959789099,0.040210901,0,0,1857.359229,4214.821199,44.06733148,42.29534438,0.959789099,0.02010545,0,0,0.97989455,43.18133793,Well Protected,Well Protected,Well Protected,same,same
Agulhas Rocky Plateau,1,0,0,0,2301.5894,8592.864308,26.78489171,26.78489171,1,0,0,0,1,26.78489171,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Agulhas Rocky Shelf Edge,0.816018921,0.183981079,0,0,879.7802572,5232.980601,16.81222088,13.71909035,0.816018921,0.091990539,0,0,0.908009461,15.26565561,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Agulhas Sandy Inner Shelf,0.350847672,0.43806158,0.205817698,0.00527305,192.0088891,521.546559,36.81529209,12.91655953,0.350847672,0.21903079,0.061745309,0.000527305,0.632151076,23.27282652,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Agulhas Sandy Mid Shelf,0.569933709,0.313328141,0.051179649,0.065558502,2715.256287,20233.08882,13.41988024,7.648442118,0.569933709,0.15666407,0.015353895,0.00655585,0.748507524,10.04488133,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Agulhas Sandy Outer Shelf,0,0.99892758,0,0.00107242,324.7871358,7058.512358,4.60135393,0,0,0.49946379,0,0.000107242,0.499571032,2.298703131,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Agulhas Sheltered Rocky Shore,0,0.662068966,0.101149425,0.236781609,0.388413946,1.317534149,29.48037033,0,0,0.331034483,0.030344828,0.023678161,0.385057471,11.35163685,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Agulhas Stromatolite Mixed Shore,0.265865063,0.668002672,0.066132265,0,1.345527298,8.357620983,16.09940557,4.280269484,0.265865063,0.334001336,0.019839679,0,0.619706079,9.976899499,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Agulhas Upper Canyon,0.386741514,0.613258486,0,0,54.70499531,101.9936415,53.63569188,20.74314867,0.386741514,0.306629243,0,0,0.693370757,37.18942027,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Agulhas Very Exposed Rocky Shore,0.38949558,0.583463339,0.011440458,0.015600624,1.728396932,9.073586373,19.04866346,7.419370219,0.38949558,0.291731669,0.003432137,0.001560062,0.686219449,13.07156334,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Agulhas Very Exposed Stromatolite Rocky Shore,0.942748092,0,0,0.057251908,0.231483073,1.26502104,18.29875279,17.25111427,0.942748092,0,0,0.005725191,0.948473282,17.35587812,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Aliwal Shoal Reef Complex,0,0.713103448,0,0.286896552,5.215794998,5.215794998,100,0,0,0.356551724,0,0.028689655,0.385241379,38.52413793,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Alphard Bank,1,0,0,0,31.8615057,31.8615057,100,100,1,0,0,0,1,100,Well Protected,Well Protected,Well Protected,same,same
Amathole Hard Shelf Edge,0.218893093,0.756443707,0.024663199,0,468.7359664,468.7359664,100,21.88930935,0.218893093,0.378221854,0.00739896,0,0.604513907,60.45139069,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Amathole Lace Corals,0.606668825,0.393331175,0,0,22.23601374,131.6356311,16.89209339,10.24790645,0.606668825,0.196665588,0,0,0.803334412,13.56999992,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Browns Bank Rocky Shelf Edge,0,0.164364215,0.00899156,0.826644225,262.4909629,2164.063484,12.12954078,0,0,0.082182107,0.002697468,0.082664422,0.167543998,2.032231757,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Cape Basin Abyss,1,0,0,0,914.7305956,57854.96054,1.581075481,1.581075481,1,0,0,0,1,1.581075481,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Cape Basin Complex Abyss,1,0,0,0,4032.240266,73071.00381,5.518249451,5.518249451,1,0,0,0,1,5.518249451,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Cape Bay,0,0.087470449,0.339288224,0.573241326,70.40581248,254.3652325,27.6790235,0,0,0.043735225,0.101786467,0.057324133,0.202845825,5.614574344,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Cape Boulder Shore,0.118223383,0.549967342,0.079033312,0.252775963,1.359295339,2.62294539,51.82324206,6.126719015,0.118223383,0.274983671,0.023709993,0.025277596,0.442194644,22.91596007,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Cape Exposed Rocky Shore,0.157583406,0.451612903,0.174067355,0.216736336,11.40048761,28.8799923,39.47538314,6.220665314,0.157583406,0.225806452,0.052220207,0.021673634,0.457283697,18.05144916,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Cape Island,0.035152327,0.133578842,0.205222631,0.625711416,2.634941344,2.951764473,89.2666528,3.137930547,0.035152327,0.066789421,0.061566789,0.062571142,0.226079679,20.18137618,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Cape Kelp Forest,0.019135704,0.12262797,0.270291819,0.586987721,5.323578261,9.78457131,54.40788454,1.041133176,0.019135704,0.061313985,0.081087546,0.058698772,0.220236007,11.98257524,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Cape Lower Canyon,0,0,0,0,0,2838.0773,0,0,0,0,0,0,0,0,Not Protected,Not Protected,Not Protected,same,same
Cape Mixed Shore,0.22039072,0.4504477,0.168803419,0.16015466,8.811666912,33.7339339,26.12107719,5.756843018,0.22039072,0.22522385,0.050641026,0.016015466,0.512271062,13.38107196,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Cape Rocky Inner Shelf,0,0.018321665,0.304285573,0.677388818,228.1811987,473.6099099,48.17914362,0,0,0.009160832,0.091285672,0.067738882,0.168185386,8.103027869,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Cape Rocky Mid Shelf Mosaic,0.011837427,0.226009029,0.565887123,0.196266421,848.3883698,3904.949483,21.72597555,0.257179641,0.011837427,0.113004515,0.169766137,0.019626642,0.31423472,6.827055849,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Cape Sandy Inner Shelf,0.761421999,0.111085952,0.102430037,0.025062012,87.44800823,526.2006506,16.61875715,12.65388729,0.761421999,0.055542976,0.030729011,0.002506201,0.850200187,14.12927044,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Cape Sheltered Rocky Shore,0,0.0625,0,0.9375,0.051081916,1.481316618,3.448413097,0,0,0.03125,0,0.09375,0.125,0.431051637,Poorly Protected,Poorly Protected,Poorly Protected,same,same
Cape Upper Canyon,0,0.802232659,0,0.197767341,410.2994561,2394.818721,17.13279809,0,0,0.401116329,0,0.019776734,0.420893064,7.211075875,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Cape Very Exposed Rocky Shore,0.463687151,0.527932961,0.005586592,0.002793296,0.320675273,0.523550144,61.25015476,28.40090975,0.463687151,0.26396648,0.001675978,0.00027933,0.729608939,44.6886604,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Central Agulhas Outer Shelf Mosaic,0.916592162,0.083407838,0,0,487.196048,2452.942664,19.86169735,18.20507611,0.916592162,0.041703919,0,0,0.958296081,19.03338673,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
Childs Bank Coral,0.364709426,0.028222795,0.537663862,0.069403917,286.8383687,505.4775314,56.74601756,20.69580749,0.364709426,0.014111398,0.161299158,0.006940392,0.547060374,31.04349758,Well Protected,Moderately Protected,Moderately Protected,decrease,same
Childs Bank Plateau,0.923392249,0.054589532,0.017775799,0.00424242,917.7421846,1620.276394,56.64108838,52.301942,0.923392249,0.027294766,0.00533274,0.000424242,0.956443997,54.17402895,Well Protected,Well Protected,Well Protected,same,same
Delagoa Deep Shelf Edge,1,0,0,0,605.353261,605.3643375,99.99817027,99.99817027,1,0,0,0,1,99.99817027,Well Protected,Well Protected,Well Protected,same,same
Delagoa Lower Canyon,1,0,0,0,3.26935743,3.26935743,100,100,1,0,0,0,1,100,Well Protected,Well Protected,Well Protected,same,same
Delagoa Mixed Shore,0.920896176,0.065586082,0.005444646,0.008073096,28.75436519,28.75462761,99.99908737,92.08877718,0.920896176,0.032793041,0.001633394,0.00080731,0.956129921,95.61211946,Well Protected,Well Protected,Well Protected,same,same
Delagoa Rocky Mid Shelf,1,0,0,0,22.98972458,22.98972458,100,100,1,0,0,0,1,100,Well Protected,Well Protected,Well Protected,same,same
Delagoa Sandy Inner Shelf,1,0,0,0,172.7012108,172.7015461,99.99980586,99.99980586,1,0,0,0,1,99.99980586,Well Protected,Well Protected,Well Protected,same,same
Delagoa Sandy Mid Shelf,1,0,0,0,274.193832,274.1962727,99.99910985,99.99910985,1,0,0,0,1,99.99910985,Well Protected,Well Protected,Well Protected,same,same
Delagoa Shelf Edge,0.987271443,0.012728557,0,0,189.7923076,189.7935676,99.9993361,98.72648885,0.987271443,0.006364279,0,0,0.993635721,99.36291248,Well Protected,Well Protected,Well Protected,same,same
Delagoa Upper Canyon,1,0,0,0,43.96270702,43.96270702,100,100,1,0,0,0,1,100,Well Protected,Well Protected,Well Protected,same,same
Delagoa Very Exposed Rocky Shore,0.747474747,0.252525253,0,0,0.267289554,0.267289554,100,74.74747475,0.747474747,0.126262626,0,0,0.873737374,87.37373737,Well Protected,Well Protected,Well Protected,same,same
Durnford Inner Shelf Reef Complex,0,0.055668802,0.356029571,0.588301626,228.2449475,460.5394302,49.56034869,0,0,0.027834401,0.106808871,0.058830163,0.193473435,9.58861091,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Durnford Mid Shelf Reef Complex,0,0.870491443,0.129508557,0,344.1472673,431.8373933,79.69371635,0,0,0.435245722,0.038852567,0,0.474098289,37.78265454,Moderately Protected,Moderately Protected,Moderately Protected,same,same
Eastern Agulhas Bay,0.170782913,0.369313594,0.18155569,0.278347803,646.4512495,1631.188229,39.63069607,6.768245711,0.170782913,0.184656797,0.054466707,0.02783478,0.437741197,17.34798834,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
Eastern Agulhas Outer Shelf Mosaic,0.373255892,0.626744108,0,0,1698.619905,25966.22872,6.541650401,2.441709553,0.373255892,0.313372054,0,0,0.686627946,4.491679977,Poorly Protected,Poorly Protected,Poorly Protected,same,same
False and Walker Bay,0.040826826,0.006717115,0.287425396,0.665030663,372.6210595,1681.229386,22.16360614,0.90486969,0.040826826,0.003358558,0.086227619,0.066503066,0.196916069,4.364370188,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
KZN Bight Deep Shelf Edge,0.015818683,0.60282343,0.010296655,0.371061231,226.374128,1761.234668,12.85314968,0.203319906,0.015818683,0.301411715,0.003088996,0.037106123,0.357425518,4.594043683,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
KZN Bight Mid Shelf Mosaic,0,0.029919366,0.54258028,0.427500354,50.89592697,534.6712991,9.51910586,0,0,0.014959683,0.162774084,0.042750035,0.220483803,2.098808657,Poorly Protected,Poorly Protected,Poorly Protected,same,same
KZN Bight Mid Shelf Reef Complex,0,0,0,0,0,22.99092368,0,0,0,0,0,0,0,0,Not Protected,Not Protected,Not Protected,same,same
KZN Bight Muddy Inner Shelf,0,0.517386757,0.039575337,0.443037905,328.7479921,328.7479921,100,0,0,0.258693379,0.011872601,0.044303791,0.31486977,31.48697704,Moderately Protected,Moderately Protected,Moderately Protected,same,same
