,ecosystem_type,percent_protected,perc_pro_cnd,pro_lvl_2019_20,pro_lvl_2019_30,pro_lvl_2025_30,difference_2019_30_20,difference_2019_2025_30
1,Agulhas Basin Abyss,8.217901251,8.217668914,Poorly Protected,Poorly Protected,Poorly Protected,same,same
2,Agulhas Basin Complex Abyss,0,0,Not Protected,Not Protected,Not Protected,same,same
3,Agulhas Blues,0.044004707,0.044004707,Not Protected,Not Protected,Not Protected,same,same
4,Agulhas Boulder Shore,59.57854158,36.20500212,Well Protected,Moderately Protected,Moderately Protected,decrease,same
5,Agulhas Coarse Sediment Shelf Edge,1.663920695,1.299284611,Poorly Protected,Poorly Protected,Poorly Protected,same,same
6,Agulhas Dissipative Intermediate Sandy Shore,33.59662735,29.29607662,Well Protected,Moderately Protected,Moderately Protected,decrease,same
7,Agulhas Dissipative Sandy Shore,40.21514481,29.77638089,Well Protected,Moderately Protected,Moderately Protected,decrease,same
8,Agulhas Exposed Rocky Shore,35.41221396,22.88365146,Moderately Protected,Moderately Protected,Moderately Protected,same,same
9,Agulhas Exposed Stromatolite Rocky Shore,6.32858495,4.914843431,Poorly Protected,Poorly Protected,Poorly Protected,same,same
10,Agulhas Inner Shelf Mosaic,17.58547686,16.168792,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
11,Agulhas Inner Shelf Reef,70.61718009,61.36528098,Well Protected,Well Protected,Well Protected,same,same
12,Agulhas Intermediate Sandy Shore,20.95615809,18.52962283,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
13,Agulhas Island,74.0278734,44.03702233,Well Protected,Well Protected,Well Protected,same,same
14,Agulhas Kelp Forest,24.85210176,9.424093371,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
15,Agulhas Lower Canyon,34.40530851,20.62346005,Moderately Protected,Moderately Protected,Moderately Protected,same,same
16,Agulhas Mid Shelf Mosaic,22.19233031,18.72389708,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
17,Agulhas Mid Shelf Reef,17.28258576,14.16478996,Moderately Protected,Poorly Protected,Poorly Protected,decrease,same
18,Agulhas Mixed Shore,24.16924912,13.9506616,Moderately Protected,Moderately Protected,Poorly Protected,same,decrease
19,Agulhas Muddy Mid Shelf,6.845964272,3.108654947,Poorly Protected,Poorly Protected,Poorly Protected,same,same
20,Agulhas Muddy Outer Shelf,5.425486449,2.719149755,Poorly Protected,Poorly Protected,Poorly Protected,same,same
21,Agulhas Plateau,21.4931218,21.4931218,Well Protected,Moderately Protected,Moderately Protected,decrease,same
22,Agulhas Reflective Sandy Shore,9.323823464,3.920016102,Poorly Protected,Poorly Protected,Poorly Protected,same,same
23,Agulhas Rocky Outer Shelf,44.06733148,43.18133793,Well Protected,Well Protected,Well Protected,same,same
24,Agulhas Rocky Plateau,26.78489171,26.78489171,Well Protected,Moderately Protected,Moderately Protected,decrease,same
