"","ecosystem_type","Total_Area_under_mpa_km2","eco_extent_km2","percent_protected","natural_wd","mod_deg_wd","sev_deg_wd","v_sev_deg_wd","total_perc","perc_pro_cnd","pro_lvl_2018_20","pro_lvl_2018_30","pro_lvl_2025_30","difference_2018_30_20","difference_2018_2025_30"
"1","Agulhas Basin Abyss",4679.50396629091,56942.810860365,8.21790125142571,0.999943455742675,2.82721286624187e-05,0,0,0.999971727871337,8.21766891386419,"Poorly Protected","Poorly Protected","Poorly Protected","same","same"
"2","Agulhas Basin Complex Abyss",0,3748.37724314446,0,0,0,0,0,0,0,"Not Protected","Not Protected","Not Protected","same","same"
"3","Agulhas Blues",3.68743860575081,8379.64577534558,0.0440047074137659,1,0,0,0,1,0.0440047074137659,"Not Protected","Not Protected","Not Protected","same","same"
"4","Agulhas Boulder Shore",0.81335913511731,1.63047062342191,49.8849303650925,0.440543601359003,0.0855039637599095,0.038391845979615,0.0260475651189128,0.59048697621744,29.4564016901011,"Well Protected","Well Protected","Moderately Protected","same","decrease"
"5","Agulhas Coarse Sediment Shelf Edge",66.3989421629696,3990.51122860643,1.66392069484685,0.561714587823824,0.219142706088088,0,0,0.780857293911912,1.29928461106214,"Poorly Protected","Poorly Protected","Poorly Protected","same","same"
"6","Agulhas Dissipative Intermediate Sandy Shore",32.8371101036131,116.445347944504,28.1995894926285,0.841171470096251,0.0375407903035621,0.0138700743137631,0.00375133682507472,0.896333671538651,25.2762415858105,"Well Protected","Moderately Protected","Moderately Protected","decrease","same"
"7","Agulhas Dissipative Sandy Shore",9.43602468114064,25.1498200029029,37.5192533387972,0.590371782650143,0.163012392755005,0.00480457578646329,0.00675881792183032,0.764947569113442,28.7002616364643,"Well Protected","Well Protected","Moderately Protected","same","decrease"
"8","Agulhas Exposed Rocky Shore",25.2024711307246,89.4899998908471,28.1623322845732,0.276121627664332,0.185944253987182,0.0304292741094054,0.0250409897153078,0.517536145476227,14.5750248981787,"Well Protected","Moderately Protected","Poorly Protected","decrease","decrease"
"9","Agulhas Exposed Stromatolite Rocky Shore",0.405407110944119,8.29588149602399,4.88684790324477,0.43141592920354,0.276548672566372,0,0.00154867256637168,0.709513274336283,3.4672834570146,"Poorly Protected","Poorly Protected","Poorly Protected","same","same"
"10","Agulhas Inner Shelf Mosaic",324.366629012439,1853.57285690773,17.4995349011299,0.838545068168206,0.07653822596855,0.000810100196603265,0.00056781459060162,0.916461208923961,16.0376449110966,"Moderately Protected","Poorly Protected","Poorly Protected","decrease","same"
"11","Agulhas Inner Shelf Reef",11.2842175722876,17.6760227477687,63.8391211264539,0,0.5,0,0,0.5,31.9195605632269,"Moderately Protected","Moderately Protected","Moderately Protected","same","same"
"12","Agulhas Intermediate Sandy Shore",2.63457595807877,14.451768374427,18.2301285892511,0.858413132694938,0.0116279069767442,0.0271887824897401,0.00277017783857729,0.9,16.407115730326,"Moderately Protected","Poorly Protected","Poorly Protected","decrease","same"
"13","Agulhas Island",4.44701459192198,6.44674198801448,68.9808061217541,0.582388663967611,0.00121457489878542,0.00431174089068825,0.040080971659919,0.627995951417004,43.3196669699428,"Well Protected","Well Protected","Well Protected","same","same"
"14","Agulhas Kelp Forest",2.881605847674,12.3040435950156,23.4199905536855,0.181155015197568,0.098936170212766,0.0472340425531914,0.0462917933130699,0.373617021276595,8.75010710899399,"Moderately Protected","Moderately Protected","Poorly Protected","same","decrease"
"15","Agulhas Lower Canyon",396.529404245266,1152.52390228667,34.4053085110452,0.198853371342454,0.400573314328773,0,0,0.599426685671227,20.6234600502719,"Moderately Protected","Moderately Protected","Moderately Protected","same","same"
"16","Agulhas Mid Shelf Mosaic",806.14971164013,3632.55998927126,22.1923303130874,0.710375265586568,0.124957154452755,0.00661021661145591,0.00176763701364024,0.843710273664419,18.7238970817061,"Well Protected","Moderately Protected","Poorly Protected","decrease","decrease"
