"","ecosystem_type","natural","mod_deg","vsev_deg","sev_deg","total","Total_Area_under_mpa_km2","eco_extent_km2","percent_protected","natural_in_mpa","natural_wd","mod_deg_wd","sev_deg_wd","v_sev_deg_wd","total_perc","perc_pro_cnd"
"1","Agulhas Inner Shelf Mosaic",0.843534936107131,0.149491921258147,0.00463495901967442,0.00233818361504719,0.997661816384952,325.959625788982,1853.57285690773,17.5854768575309,14.8339640974307,0.843534936107131,0.0747459606290735,0.000701455084514157,0.000463495901967442,0.919445847722686,16.1688936768801
"2","Agulhas Exposed Rocky Shore",0.403417932829698,0.433183374359845,0.113629290099878,0.0496845202727556,0.950230597289421,31.6903902321685,89.4899998908471,35.4122139577852,14.2859221517727,0.403417932829698,0.216591687179922,0.0149053560818267,0.0113629290099878,0.646277905101435,22.8861314516412
"3","Agulhas Dissipative Intermediate Sandy Shore",0.809562156316867,0.0782964820652049,0.051791178703725,0.0603501829142029,0.939649817085797,39.1217096165172,116.445347944504,33.5966273510231,27.1985580832685,0.809562156316867,0.0391482410326024,0.0181050548742609,0.0051791178703725,0.871994570094103,29.2960766235671
"4","Agulhas Sandy Inner Shelf",0.350847672124078,0.43806157985273,0.0052730502603715,0.205817697762821,0.794182302237179,192.008889094893,521.54655904102,36.8152920897311,12.9165595282501,0.350847672124078,0.219030789926365,0.0617453093288463,0.00052730502603715,0.632151076405326,23.2728265227
"5","Agulhas Sandy Mid Shelf",0.569933708982433,0.313328140536957,0.065558501823003,0.0511796486576069,0.948820351342393,2715.25628730269,20233.0888154781,13.4198802370973,7.64844211762893,0.569933708982433,0.156664070268479,0.0153538945972821,0.0065558501823003,0.748507524030494,10.0448813290555
"6","Agulhas Sandy Outer Shelf",0,0.998927579766451,0.0010724202335493,0,1,324.78713577392,7058.5123582321,4.60135392970066,0,0,0.499463789883225,0,0.00010724202335493,0.49957103190658,2.29870313082796
"7","Eastern Agulhas Bay",0.170782912798695,0.369313593914453,0.278347802843412,0.181555690443441,0.81844430955656,646.45124945632,1631.18822935712,39.6306960669461,6.76824571055284,0.170782912798695,0.184656796957227,0.0544667071330323,0.0278347802843412,0.437741197173295,17.347988341156
"8","Agulhas Island",0.543137625070795,0.00453086652822352,0.428544459127808,0.0237870492731735,0.976212950726826,4.77238599707785,6.44674198801448,74.0278733963679,40.2073233455447,0.543137625070795,0.00226543326411176,0.00713611478195205,0.0428544459127808,0.59539361902964,44.0757234505314
"9","Agulhas Mixed Shore",0.278862705526206,0.516313488059199,0.106210799153163,0.0985932213450466,0.901386992738568,45.4585102512588,188.084081621847,24.1692491247906,6.739902201476,0.278862705526206,0.258156744029599,0.029577966403514,0.0106210799153163,0.577218495874636,13.950937626231
"10","Agulhas Blues",1,0,0,0,1,3.68743860575081,8379.64577534558,0.0440047074137659,0.0440047074137659,1,0,0,0,1,0.0440047074137659
