"","ecosystem_type","natural_km2","mod_deg_km2","sev_deg_km2","vsev_deg_km2","Total_Area_under_mpa_km2","ecosystem_functional_type_getl3","eco_extent_km2","percent_protected","natural_in_mpa","perc_pro_light","perc_pro_med"
"1","Agulhas Basin Abyss",4679.24178851121,0.262177779693158,0,0,4679.50396629091,"Abyssal plains",56942.810860365,8.21790125142571,8.21744082845793,8.21767103994181,8.21762499764504
"2","Agulhas Basin Complex Abyss",0,0,0,0,0,"Abyssal plains",3748.37724314446,0,0,0,0
"3","Agulhas Blues",3.68743860575116,0,0,0,3.68743860575081,"Sandy shelves",8379.64577534558,0.0440047074137659,0.04400470741377,0.04400470741377,0.04400470741377
"4","Agulhas Boulder Shore",0.410472550308863,0.255365663042516,0.0974788319358859,0.208093573089856,0.97141061837816,"Boulder/cobble shores",1.63047062342191,59.5785415832538,25.1750963441092,36.075988139264,33.2737832116803
"5","Agulhas Coarse Sediment Shelf Edge",37.2800684614547,29.1188737015138,0,0,66.3989421629696,"Sandy shelves",3990.51122860643,1.66392069484685,0.934217856454289,1.29906927565055,1.2260989918113
"6","Agulhas Dissipative Intermediate Sandy Shore",31.5505915722493,3.16018442965971,2.32831722061209,2.08261639379247,39.1217096165172,"Sandy shores",116.445347944504,33.5966273510231,27.0947634484169,29.2303996625642,28.6696379007221
"7","Agulhas Dissipative Sandy Shore",5.71196743188019,3.1717475633085,0.220655987715887,1.00966555075326,10.1140365336644,"Sandy shores",25.1498200029029,40.2151448101697,22.7117626735336,29.6821391328562,28.1325310935338
"8","Agulhas Exposed Rocky Shore",12.8477549714134,13.6452451130206,1.56830785048792,3.62908229724552,31.6903902321685,"Rocky shores",89.4899998908471,35.4122139577852,14.3566375987083,22.9118092946737,21.0090163420644
"9","Agulhas Exposed Stromatolite Rocky Shore",0.294789699555448,0.223922208264118,0,0.0063,0.52501190781945,"Rocky shores",8.29588149602399,6.32858494990648,3.5534463660882,4.91063913922534,4.63692234568996
"10","Agulhas Inner Shelf Mosaic",274.739741336396,48.8804862460527,0.789523023389536,1.54987518312229,325.959625788982,"Photic rocky reef",1853.57285690773,17.5854768575309,14.8221711551569,16.1618588537448,15.8897090611266
"11","Agulhas Inner Shelf Reef",9.25803477064795,3.09856671315118,0.121838543239293,0.00386878916398704,12.4823088162027,"Photic rocky reef",17.6760227477687,70.6171800880848,52.3762324973055,61.3500939880869,59.5270935897766
"12","Agulhas Intermediate Sandy Shore",2.54636970184367,0.0930502237685954,0.244628022019495,0.144487479384308,3.02853542701594,"Sandy shores",14.451768374427,20.9561580877193,17.6197793645072,18.5495082595976,18.2658599372195
"13","Agulhas Island",2.58700054878868,0.0212699081591212,0.146804758402928,2.01731078172721,4.77238599707785,"Rocky shores",6.44674198801448,74.0278733963679,40.1288054275838,44.106123897128,42.2808142141697
"14","Agulhas Kelp Forest",0.538653057499962,0.625401942271458,0.505509031088497,1.38824940423628,3.05781343509619,"Kelp forests",12.3040435950156,24.8521017621794,4.37785394159504,9.2801335558371,7.79685233906912
"15","Agulhas Lower Canyon",78.86099036117,317.668413884093,0,0,396.529404245266,"Canyons",1152.52390228667,34.4053085110452,6.84246029125344,20.6238844011492,17.86759957917
"16","Agulhas Mid Shelf Mosaic",572.665094317616,201.513079356877,17.7220268237252,14.2495111419125,806.14971164013,"Mesophotic and sub-photic rocky shelves",3632.55998927126,22.1923303130874,15.7647801002317,18.7240732476881,18.1009318200996
"17","Agulhas Mid Shelf Reef",5.72861083882477,3.23890642575035,0,0,8.9675172645751,"Mesophotic and sub-photic rocky shelves",51.8875901479681,17.2825857570228,11.0404257019616,14.1615057294922,13.5372897239861
"18","Agulhas Mixed Shore",12.7369375077885,23.4521038976046,4.4014019014623,4.86806694440287,45.4585102512588,"Rocky shores",188.084081621847,24.1692491247906,6.7719380598071,13.9672727723378,12.3569536528196
"19","Agulhas Muddy Mid Shelf",2.68236462015413,97.5682106825762,2.70622683793796,15.6395318831039,118.596334023777,"Muddy shelves",1732.35397257669,6.84596427180397,0.154839291658413,3.10804212380738,2.48406916462463
"20","Agulhas Muddy Outer Shelf",15.1097676301607,28.0932395745106,14.9253356196458,11.2120198716523,69.3403626959733,"Muddy shelves",1278.0487674512,5.4254864494927,1.1822528228163,2.71939467222263,2.33893512820262
"21","Agulhas Plateau",1175.48685311148,0,0,0,1175.48685311148,"Plateaus",5469.13037551092,21.4931218018673,21.4931218018672,21.4931218018672,21.4931218018672
"22","Agulhas Reflective Sandy Shore",0.0166908227824143,0.029756182538019,0,0.0344842782375357,0.0809312835580378,"Sandy shores",0.868005318487441,9.32382346447671,1.92289406837958,4.03423125749938,3.49277925650606
